step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_pre_clip_mean,fit/grad_norm_pre_clip_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,fit/rand_diff_loss_mean,fit/rand_diff_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std
4849,2,,,,,0.0,0.0,0.09280475974082947,0.009786076755744486,0.11975089088082314,0.010243027618943534,0.08680982887744904,0.011236149615473923,3.2941060066223145,0.09931281078234218,,,,
4899,2,,,,,0.0,0.0,0.08752550557255745,0.0014916138472929868,0.1047581285238266,0.013958003629019586,0.07293451763689518,0.016148678276604423,3.182361364364624,0.21906751744204414,,,,
4949,2,,,,,0.0,0.0,0.08865590766072273,0.003958363523514337,0.11162587627768517,0.0013689032978535188,0.07843329757452011,0.0025020687352734798,3.3192577362060547,0.11331635408117778,,,,
4999,2,,,,,0.0,0.0,0.09495362639427185,0.0002325873835073687,0.12141135707497597,0.00036226796801932577,0.08937566727399826,0.000503833963811355,3.2035692930221558,0.08661059357812893,,,,
5049,2,,,,,0.0,0.0,0.09150480106472969,0.003610367532072013,0.1060844287276268,0.002080294685512835,0.07378032803535461,0.004146459640062394,3.230410099029541,0.20661598969277367,,,,
5099,2,,,,,0.0,0.0,0.09217943623661995,0.0086091944997066,0.11632663756608963,0.01695840616437375,0.0826665386557579,0.01280701534303558,3.3660095930099487,0.41513853422478614,,,,
5149,2,,,,,0.0,0.0,0.08321523666381836,0.0030066613423580307,0.10306693241000175,0.018711277788873642,0.07167789712548256,0.017553524933703636,3.138903498649597,0.11577520122330334,,,,
5199,2,,,,,0.0,0.0,0.09178854897618294,0.0005963831747852144,0.11047293990850449,0.0016899727214534457,0.07795275747776031,0.004028764565595722,3.252018094062805,0.2338787629457425,,,,
5249,2,,,,,0.0,0.0,0.09724703058600426,0.0032429839903146775,0.12760210037231445,0.01159940276607719,0.09424328431487083,0.009351758750195786,3.3358813524246216,0.22476357972459443,,,,
5299,2,,,,,0.0,0.0,0.08844565972685814,0.003427365915837711,0.10374770313501358,0.0057811673064059295,0.07103800773620605,0.006289173808219863,3.27096951007843,0.05080027085975675,,,,
5349,2,,,,,0.0,0.0,0.08883961662650108,0.0073069411744169956,0.11096952110528946,0.010296190599983964,0.07829796150326729,0.010770558648330139,3.26715624332428,0.047437289523375496,,,,
5399,2,,,,,0.0,0.0,0.08975925296545029,0.0012059688498664665,0.10344165936112404,0.0075399078795609625,0.0715017318725586,0.010116371070812234,3.193992853164673,0.25764604517061185,,,,
5449,2,,,,,0.0,0.0,0.09437147155404091,0.006006984852371236,0.1152154952287674,0.0028602326539190572,0.0832049660384655,0.0014128519241382537,3.201052665710449,0.1447380097578076,,,,
5499,2,,,,,0.0,0.0,0.09149814769625664,0.005752186079698626,0.11412064731121063,0.01123898399103628,0.08190779760479927,0.010223239673567669,3.221285343170166,0.10157457926083079,,,,
5549,2,,,,,0.0,0.0,0.08848385512828827,0.004301907754082698,0.12584039568901062,0.0027718296391674568,0.09435553848743439,0.0004673980132736871,3.1484851837158203,0.23044278326774037,,,,
5599,2,,,,,0.0,0.0,0.0906948521733284,0.0049628019488699,0.09713008999824524,0.007842053368179497,0.06475074589252472,0.004464141510713257,3.2379344701766968,0.3377913121871696,,,,
5649,2,,,,,0.0,0.0,0.09726081416010857,0.0027281602357541066,0.12388782203197479,0.0029521970773698277,0.09175930544734001,0.006367667045215339,3.212852358818054,0.3415467649768843,,,,
5699,2,,,,,0.0,0.0,0.09498879685997963,0.0009654315170587302,0.12027633190155029,0.012667720008707077,0.08643264323472977,0.014375678897762546,3.3843687772750854,0.17079605749294102,,,,
5749,2,,,,,0.0,0.0,0.10211915522813797,0.026146029281399922,0.12786205112934113,0.03803683535808143,0.09605471417307854,0.037687527545979205,3.180734395980835,0.034930970871040884,,,,
5799,2,,,,,0.0,0.0,0.0862271599471569,0.0016421729268860281,0.09827404096722603,0.018148206429480226,0.06753572635352612,0.016416547840671473,3.0738316774368286,0.17316572190361754,,,,
5849,2,,,,,0.0,0.0,0.09107811003923416,0.005144170374724404,0.10748384892940521,0.002374722032497813,0.07709702476859093,0.003877704992176614,3.038682222366333,0.15029802201336473,,,,
5899,2,,,,,0.0,0.0,0.09479693323373795,0.0028098250231000277,0.12154128029942513,0.0321811155450158,0.09072652831673622,0.03146124737244973,3.0814751386642456,0.07198631149442487,,,,
5949,2,,,,,0.0,0.0,0.09081364795565605,0.000520445090480711,0.10897338762879372,0.010299388492114727,0.0770254097878933,0.012074065842362942,3.1947978734970093,0.1774673978500334,,,,
5999,2,,,,,0.0,0.0,0.09052139148116112,0.005171781828855104,0.11292865872383118,0.025450964529182513,0.0821639634668827,0.026900631725495033,3.0764691829681396,0.14496661426413068,,,,
6049,2,,,,,0.0,0.0,0.09177445247769356,0.014548212290497955,0.11990632116794586,0.012499849111088186,0.08877886086702347,0.013895162677889844,3.1127456426620483,0.13953186244234791,,,,
6099,2,,,,,0.0,0.0,0.09139152243733406,0.004638898149707616,0.11340732872486115,0.021121935278083055,0.08203577622771263,0.02227239146010461,3.137155771255493,0.11504572356927678,,,,
6149,2,,,,,0.0,0.0,0.09301526471972466,0.012787780575046422,0.12067945301532745,0.03920027803780041,0.08871712908148766,0.03877949970733583,3.1962326765060425,0.04207755909194212,,,,
6199,2,,,,,0.0,0.0,0.09645671769976616,0.005681400447624579,0.10511194542050362,0.0030209227822229046,0.07273828238248825,0.0015350303696152715,3.237366199493408,0.14858955736212712,,,,
6249,2,,,,,0.0,0.0,0.0948738269507885,0.0012951673863837098,0.11060452833771706,0.0037296009665093322,0.07840165868401527,0.0063773818937971,3.2202869653701782,0.2647777977008372,,,,
6299,2,,,,,0.0,0.0,0.10068883001804352,0.008238992387455098,0.13183455914258957,0.013143020556076556,0.09959888830780983,0.01509129550698508,3.223566770553589,0.19482734757688258,,,,
6349,2,,,,,0.0,0.0,0.09469776600599289,0.006339676269448042,0.13169128447771072,0.009606731378618503,0.09950824826955795,0.012905417697596391,3.218303918838501,0.32986854760409173,,,,
6399,2,,,,,0.0,0.0,0.09640820324420929,0.005825748135418327,0.11730188876390457,0.014133703303749376,0.08444394916296005,0.012192925223519727,3.2857941389083862,0.1940773022607827,,,,
